ukbench00000.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,3458.51,115.437886586,2141.672,2096.136,-129.252806367,390.317190808,-192.046906215,941.807824364,-76.8697018876,1962.592,1955.944,-1.81067531927,920.700133299,40.1977019112,-19.73817869,59.2027109776,212.290426275,37.6965623104,928.920520807,44.8843985759,2072.806,2253.106,-9.72649015885,892.253000703,-20.8177424808,240.614295502,138.461500724,-93.8218400344,69.5581544812,-133.439203712,59.8165122258,302.995255738,-53.918654631,863.441094385,-116.376052654,3458.556,102.327027775,868.955916517,-19.6234982974,350.444949183,34.9055001408,-75.3207646251,84.1712388448,55.4453564046,-35.9478758155,5.40620816075,308.758176005,43.4646382815,397.46857547,-192.162888603,209.471898645,37.9190327798,-26.4142220865,-1.57492628782,-11.2448576949,-32.516575266,115.562651011,-14.5041742957,81.4535612264,-97.946717195,24.5489113569,70.7222398347,-120.818090837,72.6001460203
1,38.06436,-7.8277922334,150.208992,161.227296,5.38133185156,-24.7462696617,12.964431154,-73.0871806207,-3.82456435924,163.226112,151.183584,1.6123712467,-75.174586324,4.86990746259,2.35855184022,-4.10699630785,-16.0416620259,9.37102697845,-69.96931533,-1.63656360648,173.257416,186.624216,2.22479264494,-67.689679441,-4.12246966517,-20.0520775323,-14.5068887736,5.6512612347,-4.20534571113,9.83168317788,-6.36111755614,-25.723130486,0.114255540667,-78.0729586726,9.1578077693,65.110416,-11.6965489824,-90.3403563697,-1.59460423496,-15.7944009266,4.0549674743,7.8853000013,-6.4970704308,-2.59674684518,3.18582471599,4.9644020948,-20.9972530246,-1.86555764864,-42.5062223651,21.4282950644,-22.4281769344,-1.00025560328,-4.92928212381,-2.08365515761,-6.39681420452,0.910937162978,-12.9329075713,2.59703915852,-9.12624077724,15.7064918452,-1.54014136319,-1.25864825327,12.7495376983,-6.53494949252
2,-26.03163,5.23617545576,-92.456136,-99.916968,-2.85976751533,16.5189454708,-8.50082226714,46.3273869154,4.24800349862,-100.242096,-86.946072,-0.0296688600854,48.4126234737,-3.70017021185,-1.05169264358,3.01963692029,7.95374072154,-9.92579609432,44.5858387586,5.47985181165,-110.376678,-121.998578,0.162998015175,40.5995724758,2.06089790575,9.94217590192,9.11678482909,-3.92502390255,1.30704174362,-5.7410391464,6.39368931706,14.8729304821,-3.81425191811,52.013924633,-5.72983830753,-44.602428,7.28742772179,59.3705017278,-0.667233042808,5.24132153531,-3.94282479909,-4.70134787755,4.18463968684,2.73962879625,-4.14871858733,-5.94901644477,10.763968332,0.978714833162,28.9214007647,-15.1917538334,15.0050222715,0.34701642572,5.89977973945,2.59388003323,5.6485273538,-1.24786268133,9.51027498165,-1.75853496683,8.18195232392,-11.6599126168,1.03606343366,-2.44838521186,-8.29720847449,4.81023691835
ukbench00001.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,3795.4,21.1624906997,3492.374,3424.476,-121.100243174,156.7066084,-60.0933085797,258.486511687,-127.554209585,3254.5,3154.458,-42.8512227453,271.265674956,91.5103768005,11.1524881529,38.3459956131,64.5065232205,111.22468636,305.281550187,-2.67130323953,3430.462,3573.818,-61.7847659558,315.653203387,21.713840327,98.9100965524,52.291516082,-27.0825105902,40.5248543955,24.536213559,50.3600086783,167.465513202,-5.05846870399,249.93687665,-82.1092552681,3883.942,26.0529834755,201.472693126,41.3054291995,219.252599643,43.0971645715,18.8280819768,69.8836750235,23.8085752479,32.1169486053,34.1233665473,115.814191263,40.1712131175,127.980246131,-44.7145420513,83.041206169,43.2991878001,31.6461727752,0.15351019862,-41.6831994076,31.2645759696,65.8597207774,-11.7365583541,11.1808520314,21.5204050244,11.264730724,54.0298740987,-31.1231920656,27.7545888281
1,3.7224,-2.01125089903,14.453064,35.827536,11.6135744331,-1.903200321,2.98151041468,-10.1478661903,14.54800696,62.886,59.525688,6.19072164478,-18.1445857638,-16.6397152029,-0.706688173972,0.228193706865,5.89199271008,-14.544662894,-22.5608315274,3.22483094732,44.859432,18.150648,8.19959018178,-24.9264310162,-6.10734106222,1.64308988531,5.74405510702,1.03697152601,-3.2457153997,-5.27170490684,-2.89290612499,-12.2960551805,-4.2099653576,-17.1162962242,7.69340164794,9.056712,-0.562134850893,-4.62526691688,-8.79204976953,-10.396930415,-1.9100830841,-6.04206085589,-3.82505567072,-2.91051515093,-4.97770573338,-0.902106398169,-7.09320308254,-10.7206727547,-6.00784738692,0.992374239276,-6.15680137121,1.24933577436,1.61469084402,0.345917441502,4.29941881246,-4.18274769867,2.41866071997,0.238487318304,-0.197395509261,-1.17229679979,-7.30845536036,0.126108903674,2.23039505513,-0.841294257242
2,-13.8322,3.39654257553,-31.638662,-47.397388,-12.9534875509,8.22725000245,-4.90061871211,16.7008811663,-12.196721771,-68.8045,-61.644554,-4.59769680446,23.8120602726,13.816720939,0.114950106777,0.559071909064,-1.62644317746,11.097831994,26.9991986492,0.000331490003294,-57.369406,-39.798234,-7.04849078673,26.5111384941,3.92447267986,1.06883432617,0.475101613358,-2.002098396,2.21862808464,4.02368533712,3.03416496833,12.6888784533,-0.241817631343,23.794555651,-8.95771881589,-15.644646,1.66608734926,14.7799670162,6.30444762717,9.0397167303,1.93635749747,2.46532461934,4.88211815647,5.37783405861,1.26958977758,0.331051447072,7.16623165669,8.53254119295,10.4908543775,-2.94125540013,8.35001608964,0.919038414043,-0.164277397445,0.873907962818,0.0861988534329,4.27013272759,2.67359101919,-0.70684232325,0.585052074707,0.888083867152,5.94857289948,1.05429349492,-3.58037354652,2.493475928
ukbench00002.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,4068.228,-6.37101171967,3969.42,3919.012,-24.1125099335,4.05660783663,9.12398430937,1.00306386049,25.6584641426,3895.936,3870.164,47.9790845799,0.128940403054,35.4188294014,5.49563390338,-1.21761064651,36.7327830691,-1.33622643605,10.3920537588,68.3518713961,3859.936,3979.05,43.9480162688,2.32290245656,9.07868978771,7.8403999898,8.04164024532,-4.56726579692,-3.38947079997,-8.2436549474,0.594451863325,17.0101607282,8.79233059273,11.8349093462,-9.64000701715,4074.228,-3.75855014356,8.72932561528,-2.08833133671,18.2631539445,5.96826316493,10.2300603308,-13.9636935912,1.82135107498,11.0456682312,6.28754536467,6.83347993339,20.7681051994,0.678115042151,4.08970272171,16.7485312192,1.90841857946,9.62131530391,1.30388857303,1.71080702892,6.82017893956,1.75404719398,4.08142034101,1.22568986616,-1.36103427672,3.38589852024,-4.03796453412,-1.63711453161,-2.02516291157
1,0.999408,0.555241335442,14.99112,36.653232,2.90271545083,-0.382456883773,-0.980204655517,-0.923332595828,-1.30339952369,35.004096,36.003504,-4.75179600436,-5.35746528388,-5.14174566145,-0.706688173972,0.194974828545,-6.36019356575,-1.33585872372,-6.54564985412,-3.92081862207,35.004096,16.3278,-1.8729776783,-6.16319297035,-3.12893470062,-2.82675269589,-1.73575133229,0.923332595828,0.830977382292,-0.382456883773,0.0225592601324,-4.01041550647,-3.32390952917,-1.46420830788,1.57359700136,0.999408,0.555241335442,-1.97573359826,-2.24556950392,-4.71710368044,-1.24076068625,-1.85407419835,2.01845202974,-1.52140940623,-1.62954552001,-2.22096534177,-3.05646623325,-1.50597089715,-0.382456883773,-0.980204655517,-3.06524001419,-0.650514932333,-2.55287811584,-0.22465797874,-0.779899314182,-1.68824636337,-0.719431323885,-0.706688173972,0.194974828545,-0.453315069857,0.347974589752,0.556167465931,0.923332595828,0.830977382292
