ukbench00000.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,0,0,0,0,0,0,0,1,11,33,0,0,0,0,0,0,0,127,118,3,0,0,0,0,0,0,40,296,32,2,0,0,0,0,0,659,797,937,47,0,0,0,0,0,83,895,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,56,4829,212,1,0,0,0,0,7,157,1071,686,43,0,0,0,0,0,5,560,1104,512,27,0,0,0,0,7,622,10072,861,19,0,0,0,0,0,205,4276,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0,39,1054,93,0,0,0,0,0,34,726,3224,558,100,0,0,0,0,23,393,1531,992,83,0,0,0,0,1,26,1925,6778,243,0,0,0,0,0,0,1586,8516,1512,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,28,7,0,0,0,0,0,0,16,767,102,2,0,0,0,0,17,482,2904,182,1,0,0,0,7,95,5756,28229,862,4,0,0,0,3,235,869,2514,2939,13,0,0,0,1,103,20,4136,3965,220,0,0,0,0,0,0,152,600,0,0,0,0,0,0,0,0
4,23,83,0,0,0,0,0,0,5,1187,249,1,0,0,0,0,0,210,1094,230,10,0,0,0,0,76,929,11030,260,4,0,0,0,35,340,21635,46728,2588,5,0,0,0,138,886,1037,3769,787,5,0,0,0,163,9,19,439,98,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,2039,556,1,0,0,0,0,0,38,591,147,6,0,0,0,0,111,248,150,45,1,0,0,0,6,747,1484,6876,668,2,0,0,6,128,255,7350,34921,6113,4,0,0,7,18,443,592,5171,330,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,772,211,1,0,0,0,0,0,5,375,55,3,0,0,0,0,5,20,11,7,0,0,0,0,0,788,78,56,54,3,0,0,0,60,50,1014,2163,356,2,0,0,204,401,93,1500,15674,4400,0,0,0,0,0,0,24,674
7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,11,0,0,0,0,3,1,3,86,20,0,0,0,0,0,0,9,326
ukbench00001.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,0,0,0,0,0,0,0,0,63,119,9,0,0,0,0,0,3,162,206,27,0,0,0,0,0,0,71,876,62,0,0,0,0,0,2,491,5140,931,126,0,0,0,0,0,43,99,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,193,6307,449,12,0,0,0,0,11,237,1901,1244,86,0,0,0,0,1,24,831,1401,669,48,0,0,0,0,15,935,14916,1942,8,0,0,0,0,0,875,8429,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,7,0,0,0,0,0,0,134,1492,152,2,0,0,0,0,76,1328,3466,1022,49,0,0,0,0,49,430,1895,1315,40,0,0,0,0,5,24,2236,6439,191,0,0,0,0,0,0,1330,8601,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,76,36,0,0,0,0,0,0,47,1118,147,2,0,0,0,0,34,629,2455,246,1,0,0,0,5,146,3736,17595,826,9,0,0,0,26,408,1120,2876,2873,7,0,0,0,4,267,78,4112,5380,6,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0
4,26,87,0,0,0,0,0,0,23,1788,312,5,0,0,0,0,4,273,835,294,1,0,0,0,0,195,1007,8649,249,0,0,0,0,41,658,16479,47785,2546,2,0,0,6,71,1346,966,4550,1291,0,0,0,0,8,1,219,654,45,0,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,3124,448,2,0,0,0,0,0,54,553,134,0,0,0,0,0,150,346,114,54,1,0,0,0,7,1587,1936,7845,479,0,0,0,0,193,283,7458,29664,5243,1,0,0,44,31,249,738,6335,301,0,0,0,0,0,0,0,3
