ukbench00000.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1960.59,72.8540960609,2215.4,2295.758,117.327295024,21.1492616215,13.6981874258,32.7136535455,170.799809635,2224.84,2098.502,273.39681811,111.244289127,-20.614610015,3.05045865404,7.28934261408,-16.5632692425,12.2266779284,173.767754049,261.814340403,2379.814,2508.596,212.851491711,158.912163333,-93.6936849867,-23.409477098,30.5747877006,12.1265507407,2.18568814267,0.314947148138,-25.1866383508,71.3414173675,-27.9314753415,94.3374348803,115.257329135,2646.35,125.99316073,137.403505804,-22.6145740506,48.0875037614,13.0330029332,11.0526816916,-18.2218371588,44.6608325051,-80.9715518244,48.3453567452,67.4537442845,73.4455242362,-18.3264129108,53.1579926472,-26.6579256507,52.5193387181,-33.1806764978,36.6349723,70.9890703527,14.4860589607,-21.8436995628,-19.9899087041,-26.0902756298,-26.7068962043,17.9585529969,-10.3885429041,-16.9450821722,7.56309940835
1,-47.70876,18.7090566053,-65.0856,-7.759512,18.3882675287,16.0306891984,0.978612126859,12.7088428245,-11.5082543087,67.20624,104.620872,-14.002165886,-24.3308675653,8.0876949811,3.06524001419,2.73235755278,-0.229713537363,72.7120901766,-44.5650856524,-6.71885925858,169.304904,86.519856,48.4068188525,-21.4305317094,-12.4051926158,-1.95176745114,-10.0442150071,2.2996928613,0.0320359472182,4.18242363585,-29.4054970554,-5.1414356314,-50.696144528,-54.3404822538,61.0525090296,25.7466,27.7397065592,-44.9978484037,28.8455610435,30.3070322194,49.7884159126,21.8859920327,7.60343271806,-7.57497416234,-42.0809581477,44.4465230061,-22.0915827929,-40.1473063284,7.89422007782,4.30440874928,9.45175492276,-49.8955831328,-25.0737857229,25.9187898559,47.3306141434,-52.5937078974,1.72917454317,-3.08278757607,-2.8025595235,-4.44164734878,-12.1244461896,9.73145728853,3.66181424761,4.11711708327
2,23.82133,-7.90384071023,38.9298,-52.589454,-3.14877126141,-10.6749887675,-2.06727423843,-5.55862118364,37.8843643828,-143.19892,-172.903926,23.645716579,46.3249884535,-7.25986910332,-1.16664275036,-3.18845518959,-1.29873453972,-91.477480584,57.8892787366,-1.99660081535,-272.233382,-144.450948,-50.6795281708,-6.68437162016,37.6124027706,15.6826229009,8.82956941401,-0.64788895191,1.63563792479,-2.12649827671,43.3377750535,-8.51639124418,103.388089656,74.7413626352,-63.2149215627,-25.91755,-17.5693160953,81.0108905182,-3.78641360337,-40.3363958017,-85.9168733952,-39.1864016253,-5.28651997135,1.43056089924,69.7476712239,-52.3766574684,45.6805674325,63.8255685615,-5.73604826414,2.61357996412,-8.21792430027,59.2916167574,75.5387290976,-51.4215530451,-85.068240015,71.6437726605,-3.14543814276,5.17779647631,0.925268034701,0.568313967347,-9.90799656015,-18.1668077522,-9.5979446734,-8.59916097717
ukbench00001.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,2086.006,-9.5281656801,2051.258,1858.834,90.729237156,-35.95719355,-6.24315042267,-0.986492836874,148.596490432,2041.49,2274.032,146.062573788,180.049676741,-10.0581582178,-14.8110586387,-2.98421993092,-12.6614540239,-94.3220252703,100.232207439,81.3947386458,2421.888,2484.612,162.705679116,77.824059763,-51.8084987152,8.30567625182,5.63859222793,-5.68063482439,-2.57307344948,-1.70532456817,57.4428243279,69.1310015695,31.1323704844,30.1056818617,227.969646477,2734.17,82.4771507054,-15.1058388962,41.8250763065,-73.0639294864,-9.02360334687,-28.8024258274,-13.0989654567,-61.7605011103,-70.5295360822,8.95796372424,-25.6821182927,37.6296435006,-55.4176753448,-0.711341691708,-35.5646426666,-21.0710159556,41.4231260289,-3.80123742937,-10.2781089074,-8.34638506443,-32.5186452574,4.67680425077,-13.5793111709,40.6863063849,-12.082536067,-30.66675656,3.15471193244,-1.09003515494
1,-56.403384,2.90165316077,51.178488,1.785624,-40.0611546856,9.42682912376,-1.02556534879,-42.6155726587,-32.694619187,75.86364,134.213952,-59.2951348023,-10.708637038,30.9118126738,1.17488902964,0.961009978412,-12.79935116,-30.8695036789,-59.4531568693,-97.5973931506,79.023168,149.678832,-41.1383488266,-43.7266745045,3.06671981471,4.08937953494,16.5336189917,-0.0706549634473,0.622599702185,19.7075459971,84.8633299418,28.0098968458,59.7528698804,-41.3676949857,-40.523177933,70.96812,-12.8022242941,-65.4106156166,4.99607566832,-36.9583557891,39.8811747964,-29.1523397043,-15.5888236403,-1.18716543886,-29.8043036637,-5.94569603757,47.1869891334,27.6681494952,10.5175865971,13.514899903,28.8322394049,21.2550190721,14.5552462648,37.2441924766,77.4749389477,-39.5807918883,38.2769098355,-9.01864919086,5.07419338327,-24.2674917111,31.6389758741,3.31542423375,-1.82264224022,2.3021016953
2,32.793722,2.87598149954,-132.088954,-27.688642,64.7799933863,-6.62070914011,0.102096097646,63.0529834787,31.654550026,-143.66237,-241.016816,64.7506940509,-1.07341512083,-35.5126620892,0.476942109697,0.936695021031,20.1192936888,85.0381837492,77.742267818,145.641874714,-181.022144,-275.654356,63.3318236873,62.8721696289,24.4610974121,-20.0386269472,-21.0380123463,-0.0505387301982,-0.398594837963,-30.0672250916,-115.677088805,-53.3237411989,-69.5034706873,83.2914908809,81.772009287,-89.95921,38.0951236802,95.8430863252,6.0769556497,54.1112502638,-47.5204284728,48.5704859109,27.3972012934,0.894071957913,62.6997458543,-7.64854041795,-78.4887395746,-16.2590976589,-10.924895371,-21.1789564056,-26.0674575473,-8.73758747802,-28.3563012322,-40.16889819,-95.087370454,58.6036249444,-48.907315713,16.8321239686,-13.9213679849,52.533636189,-42.716505946,-22.8138054098,7.72853742281,-5.12097280622
ukbench00002.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,2422.25,-113.245667367,2424.538,2002.266,-88.8459755865,-46.5775909818,1.56384418039,-12.7343008437,-70.9855524575,2019.326,2046.868,-243.164997115,19.7926030259,-17.9093770218,-19.3761400181,7.38460225301,-3.29087495964,43.510029346,78.5871027105,-134.224827354,2224.73,2375.942,-131.669102795,88.7331306535,134.221016482,63.5250590082,-6.04346010713,-4.60933729818,-0.66261864854,10.6797409155,-56.929600306,80.6229009773,3.24478301422,55.3166242746,-170.388019168,2232.022,-199.029564421,1.9417021582,11.441099118,30.6007530626,54.1022339722,-6.13034333948,0.468984756558,-15.04580505,-15.7336722847,34.5976884615,51.3571655176,4.92393397743,14.2065668905,-7.9814909499,-20.5612509833,-29.428818606,61.4849631408,11.2889382961,-2.53036325505,9.57998887603,4.89434951901,-11.0916769697,-2.5042135154,6.76826039163,-34.6302813086,-18.592389325,2.75643922198,-3.21440434568
1,0.987,-27.8882891885,-48.807432,208.529976,-21.017079944,8.47938506513,1.23238209166,13.3609000187,-34.7351234804,139.124136,223.982448,-35.9379862861,-35.1194516106,-3.13057811462,-0.238487318304,0.222143154637,4.24890282477,5.36781098852,-22.3948828523,-55.9989335905,59.37228,-128.559288,19.2864271488,34.3982170608,19.2652681471,15.2193194668,-1.6635056423,1.33534312392,0.744594329824,2.64064198067,-5.24421856984,106.873425642,-5.50846676148,-1.22949344581,-16.7278066952,-38.364408,-28.5482898328,17.157600766,-16.5050463805,-28.4254550158,-53.310406988,-41.8727755338,0.283773352443,4.81095025223,-2.79918598294,28.8828789435,46.80812132,3.76975438114,16.0306891984,-1.11853246486,6.81084685953,-33.2866876398,14.9514685475,-31.1082261026,-48.3639330799,10.6733019632,-8.67708200256,3.06524001419,-0.957977120902,11.0688560493,-27.9996387271,0.0208664190539,2.2996928613,0.282083577173
